language,unigram,freq
haskell,module,0.00226991596210005
haskell,make,0.0021763988250847
haskell,case,0.00214239259344275
haskell,test,0.00209988480389031
haskell,warning,0.00207438013015885
haskell,configure,0.00206587857224836
haskell,f,0.00206162779329312
haskell,string,0.00206162779329312
haskell,data,0.00204462467747215
haskell,n,0.00202337078269593
haskell,y,0.00198086299314349
haskell,idris,0.00197236143523301
haskell,@,0.00195110754045679
haskell,system,0.00193410442463581
haskell,line,0.00188309507717289
haskell,issues,0.00187884429821765
haskell,files,0.00185759040344143
haskell,debug,0.00185333962448619
haskell,foo,0.00182358417179948
haskell,process,0.00180658105597851
haskell,usr,0.00178957794015753
haskell,running,0.00177257482433656
haskell,hakyll,0.00176832404538132
haskell,lib,0.00176832404538132
haskell,packages,0.00176832404538132
haskell,found,0.00176407326642607
haskell,problem,0.0017470701506051
haskell,linking,0.00173006703478412
haskell,int,0.00172581625582888
haskell,m,0.00170031158209742
haskell,s,0.00170031158209742
haskell,setup,0.00168330846627645
haskell,text,0.00165780379254498
haskell,stack_work,0.00158979132926109
haskell,library,0.00157703899239536
haskell,loading,0.00157703899239536
haskell,compiler,0.00149627419224573
haskell,git,0.00149627419224573
haskell,checking,0.00148777263433524
haskell,add,0.00148352185538
haskell,change,0.00147076951851427
haskell,store,0.00146651873955902
haskell,output,0.00144526484478281
haskell,find,0.00144101406582756
haskell,6,0.00143251250791708
haskell,10,0.00142826172896183
haskell,local,0.00142826172896183
haskell,return,0.00142401095000659
haskell,var,0.00141125861314086
haskell,9,0.00140700783418561
haskell,project,0.00140700783418561
haskell,building,0.00139425549731988
haskell,directory,0.00137725238149891
haskell,works,0.00136875082358842
haskell,2_0,0.0013474969288122
haskell,cabal_1,0.0013474969288122
haskell,installed,0.00133049381299123
java,https,0.0088143688292378
java,class,0.00714724220083244
java,public,0.00591379378319469
java,string,0.00526609255932098
java,github_com,0.00517034542187878
java,error,0.00482114997944253
java,code,0.00477609250299914
java,method,0.00447195453700627
java,roboguice,0.00434804647678695
java,java,0.00432551773856526
java,version,0.00385241423590968
java,issue,0.00370597743746867
java,android,0.00368344869924698
java,values,0.00363275903824817
java,che,0.00339620728692038
java,info,0.00339057510236495
java,project,0.00326666704214564
java,issues,0.00315402335103717
java,http,0.00313149461281547
java,private,0.0031145980591492
java,pr,0.00299632218348531
java,app,0.00290057504604311
java,failed,0.00274287387849125
java,test,0.00270344858660329
java,request,0.0026583911101599
java,return,0.00261896581827193
java,file,0.00259643708005024
java,add,0.002540115234496
java,true,0.00252321868082973
java,lombok,0.0024668968352755
java,api,0.0024443680970538
java,library,0.0024443680970538
java,user,0.00243873591249838
java,line,0.00243310372794296
java,type,0.00243310372794296
java,void,0.00238804625149957
java,eclipse,0.00238241406694415
java,id,0.00237678188238872
java,pull,0.00233172440594533
