language,repo,num_comments
javascript,aheckmann/gm,0
javascript,aheckmann/gm,1
javascript,aheckmann/gm,1
javascript,aheckmann/gm,2
javascript,aheckmann/gm,3
javascript,aheckmann/gm,0
javascript,aheckmann/gm,0
javascript,aheckmann/gm,2
javascript,aheckmann/gm,0
javascript,aheckmann/gm,0
javascript,aheckmann/gm,0
javascript,aheckmann/gm,0
javascript,aheckmann/gm,0
javascript,aheckmann/gm,0
javascript,aheckmann/gm,1
javascript,aheckmann/gm,3
javascript,aheckmann/gm,2
javascript,aheckmann/gm,0
javascript,aheckmann/gm,0
javascript,aheckmann/gm,0
javascript,aheckmann/gm,5
javascript,aheckmann/gm,1
javascript,aheckmann/gm,0
javascript,aheckmann/gm,1
javascript,aheckmann/gm,3
javascript,aheckmann/gm,2
javascript,aheckmann/gm,0
javascript,aheckmann/gm,0
javascript,aheckmann/gm,1
